usercmd_viewangle_y,usercmd_impulse,usercmd_viewangle_x,tick,steamid,name
55.548447,0.0,79.598305,23,76561198049602148,Moon
-154.91289,0.0,-0.13860004,23,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,23,76561198171814417,Faat
24.4579,0.0,1.5488039,23,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,24,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,24,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,24,76561198002613044,frees.tyler
96.05051,0.0,4.727787,24,76561198274174345,zig
-129.99985,0.0,0.0,24,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,24,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,24,76561198049602148,Moon
-154.91289,0.0,-0.13860004,24,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,24,76561198171814417,Faat
24.4579,0.0,1.5488039,24,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,25,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,25,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,25,76561198002613044,frees.tyler
96.05051,0.0,4.727787,25,76561198274174345,zig
-129.99985,0.0,0.0,25,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,25,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,25,76561198049602148,Moon
-154.91289,0.0,-0.13860004,25,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,25,76561198171814417,Faat
24.4579,0.0,1.5488039,25,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,26,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,26,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,26,76561198002613044,frees.tyler
96.05051,0.0,4.727787,26,76561198274174345,zig
-129.99985,0.0,0.0,26,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,26,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,26,76561198049602148,Moon
-154.91289,0.0,-0.13860004,26,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,26,76561198171814417,Faat
24.4579,0.0,1.5488039,26,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,27,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,27,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,27,76561198002613044,frees.tyler
96.05051,0.0,4.727787,27,76561198274174345,zig
-129.99985,0.0,0.0,27,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,27,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,27,76561198049602148,Moon
-154.91289,0.0,-0.13860004,27,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,27,76561198171814417,Faat
24.4579,0.0,1.5488039,27,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,28,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,28,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,28,76561198002613044,frees.tyler
96.05051,0.0,4.727787,28,76561198274174345,zig
-129.99985,0.0,0.0,28,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,28,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,28,76561198049602148,Moon
-154.91289,0.0,-0.13860004,28,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,28,76561198171814417,Faat
24.4579,0.0,1.5488039,28,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,29,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,29,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,29,76561198002613044,frees.tyler
96.05051,0.0,4.727787,29,76561198274174345,zig
-129.99985,0.0,0.0,29,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,29,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,29,76561198049602148,Moon
-154.91289,0.0,-0.13860004,29,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,29,76561198171814417,Faat
24.4579,0.0,1.5488039,29,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,30,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,30,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,30,76561198002613044,frees.tyler
96.05051,0.0,4.727787,30,76561198274174345,zig
-129.99985,0.0,0.0,30,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,30,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,30,76561198049602148,Moon
-154.91289,0.0,-0.13860004,30,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,30,76561198171814417,Faat
24.4579,0.0,1.5488039,30,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,31,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,31,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,31,76561198002613044,frees.tyler
96.05051,0.0,4.727787,31,76561198274174345,zig
-129.99985,0.0,0.0,31,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,31,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,31,76561198049602148,Moon
-154.91289,0.0,-0.13860004,31,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,31,76561198171814417,Faat
