usercmd_viewangle_y,usercmd_impulse,usercmd_viewangle_x,tick,steamid,name
,,,144830,76561198002613044,frees.tyler
,,,144830,76561198274174345,zig
,,,144830,76561199433997570,Simple Dimple skins.army
,,,144830,76561199557907229,shawty#)$@
,,,144830,76561198049602148,Moon
-39.19677,0.0,2.3992703,144830,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144830,76561198171814417,Faat
165.62042,0.0,-4.5759516,144830,76561199052717313,Worfy
,,,144831,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144831,76561199826895670,RME | Пацан
,,,144831,76561198002613044,frees.tyler
,,,144831,76561198274174345,zig
,,,144831,76561199433997570,Simple Dimple skins.army
,,,144831,76561199557907229,shawty#)$@
,,,144831,76561198049602148,Moon
-39.19677,0.0,2.3992703,144831,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144831,76561198171814417,Faat
165.62042,0.0,-4.5759516,144831,76561199052717313,Worfy
,,,144832,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144832,76561199826895670,RME | Пацан
,,,144832,76561198002613044,frees.tyler
,,,144832,76561198274174345,zig
,,,144832,76561199433997570,Simple Dimple skins.army
,,,144832,76561199557907229,shawty#)$@
,,,144832,76561198049602148,Moon
-39.19677,0.0,2.3992703,144832,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144832,76561198171814417,Faat
165.62042,0.0,-4.5759516,144832,76561199052717313,Worfy
,,,144833,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144833,76561199826895670,RME | Пацан
,,,144833,76561198002613044,frees.tyler
,,,144833,76561198274174345,zig
,,,144833,76561199433997570,Simple Dimple skins.army
,,,144833,76561199557907229,shawty#)$@
,,,144833,76561198049602148,Moon
-39.19677,0.0,2.3992703,144833,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144833,76561198171814417,Faat
165.62042,0.0,-4.5759516,144833,76561199052717313,Worfy
,,,144834,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144834,76561199826895670,RME | Пацан
,,,144834,76561198002613044,frees.tyler
,,,144834,76561198274174345,zig
,,,144834,76561199433997570,Simple Dimple skins.army
,,,144834,76561199557907229,shawty#)$@
,,,144834,76561198049602148,Moon
-39.19677,0.0,2.3992703,144834,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144834,76561198171814417,Faat
165.62042,0.0,-4.5759516,144834,76561199052717313,Worfy
,,,144835,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144835,76561199826895670,RME | Пацан
,,,144835,76561198002613044,frees.tyler
,,,144835,76561198274174345,zig
,,,144835,76561199433997570,Simple Dimple skins.army
,,,144835,76561199557907229,shawty#)$@
,,,144835,76561198049602148,Moon
-39.19677,0.0,2.3992703,144835,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144835,76561198171814417,Faat
165.62042,0.0,-4.5759516,144835,76561199052717313,Worfy
,,,144836,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144836,76561199826895670,RME | Пацан
,,,144836,76561198002613044,frees.tyler
,,,144836,76561198274174345,zig
,,,144836,76561199433997570,Simple Dimple skins.army
,,,144836,76561199557907229,shawty#)$@
,,,144836,76561198049602148,Moon
-39.19677,0.0,2.3992703,144836,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144836,76561198171814417,Faat
165.62042,0.0,-4.5759516,144836,76561199052717313,Worfy
,,,144837,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144837,76561199826895670,RME | Пацан
,,,144837,76561198002613044,frees.tyler
,,,144837,76561198274174345,zig
,,,144837,76561199433997570,Simple Dimple skins.army
,,,144837,76561199557907229,shawty#)$@
,,,144837,76561198049602148,Moon
-39.19677,0.0,2.3992703,144837,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144837,76561198171814417,Faat
165.62042,0.0,-4.5759516,144837,76561199052717313,Worfy
,,,144838,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144838,76561199826895670,RME | Пацан
,,,144838,76561198002613044,frees.tyler
,,,144838,76561198274174345,zig
,,,144838,76561199433997570,Simple Dimple skins.army
,,,144838,76561199557907229,shawty#)$@
,,,144838,76561198049602148,Moon
-39.19677,0.0,2.3992703,144838,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144838,76561198171814417,Faat
165.62042,0.0,-4.5759516,144838,76561199052717313,Worfy
,,,144839,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144839,76561199826895670,RME | Пацан
,,,144839,76561198002613044,frees.tyler
,,,144839,76561198274174345,zig
,,,144839,76561199433997570,Simple Dimple skins.army
,,,144839,76561199557907229,shawty#)$@
,,,144839,76561198049602148,Moon
-39.19677,0.0,2.3992703,144839,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144839,76561198171814417,Faat
165.62042,0.0,-4.5759516,144839,76561199052717313,Worfy
,,,144840,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144840,76561199826895670,RME | Пацан
,,,144840,76561198002613044,frees.tyler
,,,144840,76561198274174345,zig
,,,144840,76561199433997570,Simple Dimple skins.army
,,,144840,76561199557907229,shawty#)$@
,,,144840,76561198049602148,Moon
-39.19677,0.0,2.3992703,144840,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144840,76561198171814417,Faat
165.62042,0.0,-4.5759516,144840,76561199052717313,Worfy
,,,144841,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144841,76561199826895670,RME | Пацан
,,,144841,76561198002613044,frees.tyler
,,,144841,76561198274174345,zig
,,,144841,76561199433997570,Simple Dimple skins.army
,,,144841,76561199557907229,shawty#)$@
,,,144841,76561198049602148,Moon
-39.19677,0.0,2.3992703,144841,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144841,76561198171814417,Faat
165.62042,0.0,-4.5759516,144841,76561199052717313,Worfy
,,,144842,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144842,76561199826895670,RME | Пацан
,,,144842,76561198002613044,frees.tyler
,,,144842,76561198274174345,zig
