is_freeze_period,is_warmup_period,is_terrorist_timeout,is_ct_timeout,is_technical_timeout,is_waiting_for_resume,round_start_time,game_time,tick,steamid,name
False,True,False,False,False,False,3.15625,39.03125,27,76561198049602148,Moon
False,True,False,False,False,False,3.15625,39.03125,27,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,39.03125,27,76561198171814417,Faat
False,True,False,False,False,False,3.15625,39.03125,27,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,39.046875,28,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,39.046875,28,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,39.046875,28,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,39.046875,28,76561198274174345,zig
False,True,False,False,False,False,3.15625,39.046875,28,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,39.046875,28,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,39.046875,28,76561198049602148,Moon
False,True,False,False,False,False,3.15625,39.046875,28,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,39.046875,28,76561198171814417,Faat
False,True,False,False,False,False,3.15625,39.046875,28,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,39.0625,29,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,39.0625,29,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,39.0625,29,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,39.0625,29,76561198274174345,zig
False,True,False,False,False,False,3.15625,39.0625,29,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,39.0625,29,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,39.0625,29,76561198049602148,Moon
False,True,False,False,False,False,3.15625,39.0625,29,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,39.0625,29,76561198171814417,Faat
False,True,False,False,False,False,3.15625,39.0625,29,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,39.078125,30,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,39.078125,30,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,39.078125,30,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,39.078125,30,76561198274174345,zig
False,True,False,False,False,False,3.15625,39.078125,30,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,39.078125,30,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,39.078125,30,76561198049602148,Moon
False,True,False,False,False,False,3.15625,39.078125,30,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,39.078125,30,76561198171814417,Faat
False,True,False,False,False,False,3.15625,39.078125,30,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,39.09375,31,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,39.09375,31,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,39.09375,31,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,39.09375,31,76561198274174345,zig
False,True,False,False,False,False,3.15625,39.09375,31,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,39.09375,31,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,39.09375,31,76561198049602148,Moon
