armor,health,move_type,duck_amount,duck_speed,flash_duration,flash_max_alpha,is_airborne,tick,steamid,name
0,100.0,2.0,0.0,8.0,0.0,0.0,False,16,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,16,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,16,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,16,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,False,16,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,16,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,16,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,16,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,17,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,17,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,17,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,17,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,17,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,17,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,False,17,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,17,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,17,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,17,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,18,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,18,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,18,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,18,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,18,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,18,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,False,18,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,18,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,18,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,18,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,19,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,19,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,19,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,19,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,19,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,19,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,False,19,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,19,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,19,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,19,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,20,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,20,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,20,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,20,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,20,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,20,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,False,20,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,20,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,20,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,20,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,21,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,21,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,21,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,21,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,21,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,21,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,False,21,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,21,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,21,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,21,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,22,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,22,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,22,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,22,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,22,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,22,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,False,22,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,22,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,22,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,22,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,23,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,23,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,23,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,23,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,23,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,23,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,False,23,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,23,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,23,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,23,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,24,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,24,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,24,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,24,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,24,76561199433997570,Simple Dimple skins.army
