aim_punch_x,aim_punch_y,aim_punch_z,attack_tick_count,attack_tick_frac,attacker_name,attacker_steamid,damage_dir_x,damage_dir_y,damage_dir_z,distance,in_air,inaccuracy_air,inaccuracy_move,inaccuracy_total,no_scope,num_penetrations,recoil_index,render_tick_count,render_tick_frac,shoot_ang_x,shoot_ang_y,shoot_ang_z,tick,type,victim_name,victim_steamid
0.0,0.0,0.0,28640,0.89239097,Faat,76561198171814417,0.13390724,0.99089366,0.014097262,1828.0078,False,0.0,0.0,0.0030004166,False,0,0.0,28634,0.91963863,-0.82535934,82.3745,0.0,26170,0,shawty#)$@,76561199557907229
0.0,0.0,0.0,29276,0.76488084,Faat,76561198171814417,-0.9434591,0.3314696,-0.0035686232,819.29083,False,0.0,0.0,0.0030019027,False,0,0.0,29270,0.84934044,0.20697528,160.64209,0.0,26806,0,Wybaczam.oficjalnie skins.army,76561199256543526
0.0,0.0,0.0,30084,0.5389957,Faat,76561198171814417,-0.1877138,0.97898644,0.07968071,2291.1973,False,0.0,0.0,0.0030000005,False,0,0.0,30078,0.64867985,-4.560961,100.79663,0.0,27614,0,shawty#)$@,76561199557907229
0.0,0.0,0.0,31324,0.75939554,Faat,76561198171814417,-0.74674517,-0.66489303,-0.016998114,1386.028,False,0.0,0.0,0.0030000005,False,0,0.0,31318,0.9501368,0.9411411,-138.38338,0.0,28854,0,Simple Dimple skins.army,76561199433997570
0.0,0.0,0.0,33796,0.45343047,Faat,76561198171814417,0.0019214833,0.9993133,-0.037003513,754.8382,False,0.0,0.0,0.0030000005,False,1,0.0,33789,0.71053225,2.1284697,89.85912,0.0,31325,0,prosto bo$$,76561199068251294
0.0,0.0,0.0,33806,0.48016733,prosto bo$$,76561199068251294,-0.01907431,-0.999396,0.029048601,2202.2922,False,0.0,0.0,0.0030052385,False,1,0.0,33802,0.18064514,-1.7017015,-91.23946,0.0,31336,0,Faat,76561198171814417
-0.18279584,-0.019889398,-7.7676876e-10,33921,0.49328142,Wybaczam.oficjalnie skins.army,76561199256543526,0.97416455,-0.21854626,-0.056929637,747.2099,False,0.0,0.024446467,0.035288353,False,0,1.0,33917,0.7603411,1.3804976,-12.067957,-7.7676876e-10,31451,2,frees.tyler,76561198002613044
-1.3809996,-0.014689659,7.563042e-09,33930,0.45328146,Wybaczam.oficjalnie skins.army,76561199256543526,0.97945184,-0.19346677,-0.056962844,744.3599,False,0.0,0.001507468,0.013928298,False,0,3.0,33926,0.41608512,3.7732234,-10.901896,7.563042e-09,31460,2,frees.tyler,76561198002613044
-2.640513,-0.109037146,-4.326295e-08,33934,0.9332815,Wybaczam.oficjalnie skins.army,76561199256543526,0.9773625,-0.20107639,-0.06580862,732.3276,False,0.0,0.0,0.013075484,False,0,4.0,33930,0.29388988,3.6436143,-11.553457,-4.326295e-08,31464,2,frees.tyler,76561198002613044
0.0,0.0,0.0,34036,0.27344495,Simple Dimple skins.army,76561199433997570,-0.013819101,-0.99989307,-0.004779084,921.4898,False,0.0,0.0,0.0049,False,0,0.0,34032,0.37242112,0.27689242,-90.809326,0.0,31567,0,zig,76561198274174345
