tick,user_name,user_steamid
68200,Simple Dimple skins.army,76561199433997570
68200,shawty#)$@,76561199557907229
68200,RME | Пацан,76561199826895670
75829,frees.tyler,76561198002613044
75829,Moon,76561198049602148
75829,Faat,76561198171814417
75829,zig,76561198274174345
75829,Worfy,76561199052717313
75829,prosto bo$$,76561199068251294
75829,Wybaczam.oficjalnie skins.army,76561199256543526
75829,Simple Dimple skins.army,76561199433997570
75829,shawty#)$@,76561199557907229
75829,RME | Пацан,76561199826895670
85014,frees.tyler,76561198002613044
85014,Moon,76561198049602148
85014,Faat,76561198171814417
85014,zig,76561198274174345
85014,Worfy,76561199052717313
85014,prosto bo$$,76561199068251294
85014,Wybaczam.oficjalnie skins.army,76561199256543526
85014,Simple Dimple skins.army,76561199433997570
85014,shawty#)$@,76561199557907229
85014,RME | Пацан,76561199826895670
90796,frees.tyler,76561198002613044
90796,Moon,76561198049602148
90796,Faat,76561198171814417
90796,zig,76561198274174345
90796,Worfy,76561199052717313
90796,prosto bo$$,76561199068251294
90796,Wybaczam.oficjalnie skins.army,76561199256543526
90796,Simple Dimple skins.army,76561199433997570
90796,shawty#)$@,76561199557907229
90796,RME | Пацан,76561199826895670
98388,frees.tyler,76561198002613044
98388,Moon,76561198049602148
98388,Faat,76561198171814417
98388,zig,76561198274174345
98388,Worfy,76561199052717313
98388,prosto bo$$,76561199068251294
98388,Wybaczam.oficjalnie skins.army,76561199256543526
98388,Simple Dimple skins.army,76561199433997570
98388,shawty#)$@,76561199557907229
98388,RME | Пацан,76561199826895670
104877,frees.tyler,76561198002613044
104877,Moon,76561198049602148
104877,Faat,76561198171814417
104877,zig,76561198274174345
104877,Worfy,76561199052717313
104877,prosto bo$$,76561199068251294
104877,Wybaczam.oficjalnie skins.army,76561199256543526
104877,Simple Dimple skins.army,76561199433997570
104877,shawty#)$@,76561199557907229
104877,RME | Пацан,76561199826895670
111651,frees.tyler,76561198002613044
111651,Moon,76561198049602148
111651,Faat,76561198171814417
111651,zig,76561198274174345
111651,Worfy,76561199052717313
111651,prosto bo$$,76561199068251294
111651,Wybaczam.oficjalnie skins.army,76561199256543526
111651,Simple Dimple skins.army,76561199433997570
111651,shawty#)$@,76561199557907229
111651,RME | Пацан,76561199826895670
116518,frees.tyler,76561198002613044
116518,Moon,76561198049602148
116518,Faat,76561198171814417
116518,zig,76561198274174345
116518,Worfy,76561199052717313
116518,prosto bo$$,76561199068251294
116518,Wybaczam.oficjalnie skins.army,76561199256543526
116518,Simple Dimple skins.army,76561199433997570
116518,shawty#)$@,76561199557907229
116518,RME | Пацан,76561199826895670
123894,frees.tyler,76561198002613044
123894,Moon,76561198049602148
123894,Faat,76561198171814417
123894,zig,76561198274174345
123894,Worfy,76561199052717313
123894,prosto bo$$,76561199068251294
123894,Wybaczam.oficjalnie skins.army,76561199256543526
123894,Simple Dimple skins.army,76561199433997570
123894,shawty#)$@,76561199557907229
123894,RME | Пацан,76561199826895670
129006,frees.tyler,76561198002613044
129006,Moon,76561198049602148
129006,Faat,76561198171814417
129006,zig,76561198274174345
129006,Worfy,76561199052717313
129006,prosto bo$$,76561199068251294
129006,Wybaczam.oficjalnie skins.army,76561199256543526
129006,Simple Dimple skins.army,76561199433997570
129006,RME | Пацан,76561199826895670
133647,frees.tyler,76561198002613044
133647,Moon,76561198049602148
133647,Faat,76561198171814417
133647,zig,76561198274174345
133647,Worfy,76561199052717313
133647,prosto bo$$,76561199068251294
133647,Wybaczam.oficjalnie skins.army,76561199256543526
133647,Simple Dimple skins.army,76561199433997570
133647,RME | Пацан,76561199826895670
136580,frees.tyler,76561198002613044
136580,Moon,76561198049602148
136580,Faat,76561198171814417
136580,zig,76561198274174345
136580,Worfy,76561199052717313
136580,prosto bo$$,76561199068251294
136580,Wybaczam.oficjalnie skins.army,76561199256543526
136580,Simple Dimple skins.army,76561199433997570
136580,RME | Пацан,76561199826895670
