defindex,item,silent,tick,user_name,user_steamid
55,defuser,False,124058,zig,76561198274174345
44,hegrenade,False,124065,Wybaczam.oficjalnie skins.army,76561199256543526
9,awp,False,124072,RME | Пацан,76561199826895670
43,flashbang,False,124076,frees.tyler,76561198002613044
60,m4a1,False,124077,Worfy,76561199052717313
46,molotov,False,124078,Wybaczam.oficjalnie skins.army,76561199256543526
50,vest,False,124094,Worfy,76561199052717313
1,deagle,False,124095,RME | Пацан,76561199826895670
48,incgrenade,False,124099,zig,76561198274174345
45,smokegrenade,False,124100,frees.tyler,76561198002613044
44,hegrenade,False,124118,frees.tyler,76561198002613044
51,vesthelm,False,124120,RME | Пацан,76561199826895670
48,incgrenade,False,124130,frees.tyler,76561198002613044
51,vesthelm,False,124136,Wybaczam.oficjalnie skins.army,76561199256543526
44,hegrenade,False,124136,zig,76561198274174345
45,smokegrenade,False,124148,zig,76561198274174345
45,smokegrenade,False,124150,RME | Пацан,76561199826895670
50,vest,False,124157,shawty#)$@,76561199557907229
10,famas,False,124158,frees.tyler,76561198002613044
43,flashbang,False,124163,zig,76561198274174345
43,flashbang,False,124164,RME | Пацан,76561199826895670
48,incgrenade,False,124165,Worfy,76561199052717313
44,hegrenade,False,124189,RME | Пацан,76561199826895670
43,flashbang,False,124190,Worfy,76561199052717313
44,hegrenade,False,124203,Worfy,76561199052717313
46,molotov,False,124205,RME | Пацан,76561199826895670
34,mp9,False,124259,frees.tyler,76561198002613044
55,defuser,False,124284,frees.tyler,76561198002613044
51,vesthelm,False,124317,Moon,76561198049602148
60,m4a1,False,124348,Moon,76561198049602148
43,flashbang,False,124367,Moon,76561198049602148
49,c4,False,124379,shawty#)$@,76561199557907229
45,smokegrenade,False,124380,Moon,76561198049602148
44,hegrenade,False,124395,Moon,76561198049602148
40,ssg08,False,124404,Faat,76561198171814417
35,nova,False,124426,shawty#)$@,76561199557907229
51,vesthelm,False,124432,Faat,76561198171814417
48,incgrenade,False,124439,Moon,76561198049602148
36,p250,False,124452,Faat,76561198171814417
51,vesthelm,False,124515,shawty#)$@,76561199557907229
45,smokegrenade,False,124596,shawty#)$@,76561199557907229
43,flashbang,False,124606,shawty#)$@,76561199557907229
9,awp,False,124862,Simple Dimple skins.army,76561199433997570
9,awp,False,125534,prosto bo$$,76561199068251294
49,c4,False,125664,RME | Пацан,76561199826895670
7,ak47,False,127355,frees.tyler,76561198002613044
45,smokegrenade,False,128104,Worfy,76561199052717313
9,awp,False,128752,Worfy,76561199052717313
42,knife,False,129006,Moon,76561198049602148
61,hkp2000,False,129006,Moon,76561198049602148
59,knife,False,129006,prosto bo$$,76561199068251294
4,glock,False,129006,prosto bo$$,76561199068251294
59,knife,False,129006,Wybaczam.oficjalnie skins.army,76561199256543526
4,glock,False,129006,Wybaczam.oficjalnie skins.army,76561199256543526
59,knife,False,129006,Simple Dimple skins.army,76561199433997570
4,glock,False,129006,Simple Dimple skins.army,76561199433997570
518,knife,False,129006,RME | Пацан,76561199826895670
4,glock,False,129006,RME | Пацан,76561199826895670
49,c4,False,129006,Simple Dimple skins.army,76561199433997570
60,m4a1,False,129204,Worfy,76561199052717313
9,awp,False,129214,Faat,76561198171814417
40,ssg08,False,129221,Moon,76561198049602148
44,hegrenade,False,129244,frees.tyler,76561198002613044
45,smokegrenade,False,129258,frees.tyler,76561198002613044
55,defuser,False,129261,Worfy,76561199052717313
43,flashbang,False,129271,frees.tyler,76561198002613044
48,incgrenade,False,129292,frees.tyler,76561198002613044
55,defuser,False,129294,Faat,76561198171814417
44,hegrenade,False,129333,Faat,76561198171814417
45,smokegrenade,False,129347,Faat,76561198171814417
13,galilar,False,129357,Wybaczam.oficjalnie skins.army,76561199256543526
48,incgrenade,False,129363,Faat,76561198171814417
50,vest,False,129378,Wybaczam.oficjalnie skins.army,76561199256543526
48,incgrenade,False,129389,Worfy,76561199052717313
43,flashbang,False,129408,Wybaczam.oficjalnie skins.army,76561199256543526
51,vesthelm,False,129476,Simple Dimple skins.army,76561199433997570
7,ak47,False,129476,Simple Dimple skins.army,76561199433997570
51,vesthelm,False,129522,prosto bo$$,76561199068251294
45,smokegrenade,False,129526,Simple Dimple skins.army,76561199433997570
44,hegrenade,False,129537,Simple Dimple skins.army,76561199433997570
43,flashbang,False,129553,Simple Dimple skins.army,76561199433997570
19,p90,False,129622,prosto bo$$,76561199068251294
2,elite,False,129661,RME | Пацан,76561199826895670
45,smokegrenade,False,129665,prosto bo$$,76561199068251294
60,m4a1,False,129712,frees.tyler,76561198002613044
7,ak47,False,129715,zig,76561198274174345
43,flashbang,False,129796,Worfy,76561199052717313
46,molotov,False,129829,Simple Dimple skins.army,76561199433997570
43,flashbang,False,129860,frees.tyler,76561198002613044
45,smokegrenade,False,129941,RME | Пацан,76561199826895670
50,vest,False,129984,RME | Пацан,76561199826895670
4,glock,False,130051,RME | Пацан,76561199826895670
2,elite,False,130092,RME | Пацан,76561199826895670
43,flashbang,False,130280,RME | Пацан,76561199826895670
45,smokegrenade,False,130307,RME | Пацан,76561199826895670
47,decoy,False,130331,prosto bo$$,76561199068251294
51,vesthelm,False,130460,Moon,76561198049602148
43,flashbang,True,130533,Moon,76561198049602148
45,smokegrenade,True,130546,Moon,76561198049602148
44,hegrenade,True,130563,Moon,76561198049602148
43,flashbang,True,132481,zig,76561198274174345
44,hegrenade,False,132859,frees.tyler,76561198002613044
60,m4a1,True,132921,Moon,76561198049602148
55,defuser,False,132954,Moon,76561198049602148
7,ak47,False,133281,frees.tyler,76561198002613044
45,smokegrenade,False,133316,frees.tyler,76561198002613044
47,decoy,False,133368,Moon,76561198049602148
42,knife,False,133647,Faat,76561198171814417
61,hkp2000,False,133647,Faat,76561198171814417
42,knife,False,133647,zig,76561198274174345
61,hkp2000,False,133647,zig,76561198274174345
518,knife,False,133647,Worfy,76561199052717313
61,hkp2000,False,133647,Worfy,76561199052717313
59,knife,False,133647,prosto bo$$,76561199068251294
4,glock,False,133647,prosto bo$$,76561199068251294
59,knife,False,133647,Wybaczam.oficjalnie skins.army,76561199256543526
4,glock,False,133647,Wybaczam.oficjalnie skins.army,76561199256543526
59,knife,False,133647,Simple Dimple skins.army,76561199433997570
4,glock,False,133647,Simple Dimple skins.army,76561199433997570
518,knife,False,133647,RME | Пацан,76561199826895670
4,glock,False,133647,RME | Пацан,76561199826895670
49,c4,False,133647,Wybaczam.oficjalnie skins.army,76561199256543526
51,vesthelm,False,133811,prosto bo$$,76561199068251294
51,vesthelm,False,133815,zig,76561198274174345
48,incgrenade,False,133818,frees.tyler,76561198002613044
13,galilar,False,133841,Wybaczam.oficjalnie skins.army,76561199256543526
43,flashbang,False,133845,frees.tyler,76561198002613044
50,vest,False,133867,Wybaczam.oficjalnie skins.army,76561199256543526
60,m4a1,False,133901,zig,76561198274174345
60,m4a1,False,133918,Worfy,76561199052717313
50,vest,False,133938,Worfy,76561199052717313
50,vest,False,134029,RME | Пацан,76561199826895670
17,mac10,False,134068,RME | Пацан,76561199826895670
45,smokegrenade,False,134101,RME | Пацан,76561199826895670
44,hegrenade,False,134167,RME | Пацан,76561199826895670
43,flashbang,False,134190,RME | Пацан,76561199826895670
13,galilar,False,134192,prosto bo$$,76561199068251294
60,m4a1,False,134237,Worfy,76561199052717313
45,smokegrenade,False,134285,prosto bo$$,76561199068251294
16,m4a1,False,134288,Faat,76561198171814417
50,vest,False,134301,Worfy,76561199052717313
7,ak47,False,134306,zig,76561198274174345
51,vesthelm,False,134315,Faat,76561198171814417
55,defuser,False,134331,Faat,76561198171814417
45,smokegrenade,False,134353,prosto bo$$,76561199068251294
60,m4a1,False,134368,frees.tyler,76561198002613044
48,incgrenade,False,134375,Worfy,76561199052717313
44,hegrenade,False,134379,Faat,76561198171814417
45,smokegrenade,False,134395,Faat,76561198171814417
48,incgrenade,False,134410,Faat,76561198171814417
44,hegrenade,False,134428,Worfy,76561199052717313
43,flashbang,False,134441,Worfy,76561199052717313
43,flashbang,False,134455,prosto bo$$,76561199068251294
55,defuser,False,134496,zig,76561198274174345
44,hegrenade,False,134536,zig,76561198274174345
43,flashbang,False,134540,frees.tyler,76561198002613044
48,incgrenade,False,134548,zig,76561198274174345
45,smokegrenade,False,134557,prosto bo$$,76561199068251294
51,vesthelm,False,134670,Simple Dimple skins.army,76561199433997570
7,ak47,False,134694,Simple Dimple skins.army,76561199433997570
45,smokegrenade,False,134713,Simple Dimple skins.army,76561199433997570
44,hegrenade,False,134728,Simple Dimple skins.army,76561199433997570
45,smokegrenade,False,134899,zig,76561198274174345
43,flashbang,False,134982,Worfy,76561199052717313
44,hegrenade,False,136401,frees.tyler,76561198002613044
7,ak47,True,136419,frees.tyler,76561198002613044
59,knife,False,136580,prosto bo$$,76561199068251294
4,glock,False,136580,prosto bo$$,76561199068251294
59,knife,False,136580,Wybaczam.oficjalnie skins.army,76561199256543526
4,glock,False,136580,Wybaczam.oficjalnie skins.army,76561199256543526
59,knife,False,136580,Simple Dimple skins.army,76561199433997570
4,glock,False,136580,Simple Dimple skins.army,76561199433997570
518,knife,False,136580,RME | Пацан,76561199826895670
4,glock,False,136580,RME | Пацан,76561199826895670
49,c4,False,136580,prosto bo$$,76561199068251294
7,ak47,False,136647,RME | Пацан,76561199826895670
