canzoom,defindex,hassilencer,hastracers,ispainted,issilenced,item,tick,user_name,user_steamid,weptype
False,0,False,False,True,False,knife,8658,Worfy,76561199052717313,0
True,0,False,True,False,False,ssg08,8673,Faat,76561198171814417,5
False,0,False,True,True,False,mac10,8707,frees.tyler,76561198002613044,2
False,0,False,False,True,False,knife,8712,frees.tyler,76561198002613044,0
False,0,False,True,True,False,mac10,8721,frees.tyler,76561198002613044,2
False,0,False,False,True,False,knife,8726,frees.tyler,76561198002613044,0
False,0,False,True,True,False,mac10,8733,frees.tyler,76561198002613044,2
False,0,False,False,True,False,knife,8738,frees.tyler,76561198002613044,0
False,0,True,True,False,True,m4a1,8767,Simple Dimple skins.army,76561199433997570,3
False,0,True,True,False,True,hkp2000,8779,Wybaczam.oficjalnie skins.army,76561199256543526,1
False,0,False,True,True,False,glock,8786,Faat,76561198171814417,1
False,0,True,True,False,True,hkp2000,8804,Simple Dimple skins.army,76561199433997570,1
True,0,False,True,False,False,ssg08,8805,Faat,76561198171814417,5
False,0,False,False,False,False,knife,8806,Simple Dimple skins.army,76561199433997570,0
True,0,False,True,True,False,ssg08,8812,Wybaczam.oficjalnie skins.army,76561199256543526,5
False,0,False,False,False,False,knife,8815,Faat,76561198171814417,0
False,0,False,True,True,False,deagle,8827,Worfy,76561199052717313,1
False,0,True,True,True,True,hkp2000,9014,shawty#)$@,76561199557907229,1
False,0,True,True,True,True,hkp2000,9017,Simple Dimple skins.army,76561199433997570,1
False,0,False,True,False,False,mp9,9031,shawty#)$@,76561199557907229,2
False,0,False,True,True,False,glock,9041,Faat,76561198171814417,1
True,0,False,True,False,False,ssg08,9054,Faat,76561198171814417,5
False,0,False,False,False,False,knife,9062,Faat,76561198171814417,0
False,0,False,False,True,False,knife,9092,RME | Пацан,76561199826895670,0
False,0,False,False,True,False,knife,9209,Worfy,76561199052717313,0
False,0,True,True,True,True,hkp2000,9214,prosto bo$$,76561199068251294,1
False,0,False,False,False,False,knife,9228,shawty#)$@,76561199557907229,0
False,0,False,True,True,False,tec9,9245,Moon,76561198049602148,1
False,0,True,True,True,True,hkp2000,9264,shawty#)$@,76561199557907229,1
False,0,False,False,False,False,knife,9286,Simple Dimple skins.army,76561199433997570,0
False,0,True,True,True,True,hkp2000,9297,Simple Dimple skins.army,76561199433997570,1
False,0,False,False,False,False,knife,9314,Moon,76561198049602148,0
False,0,False,True,True,False,tec9,9355,Moon,76561198049602148,1
False,0,False,False,False,False,knife,9362,prosto bo$$,76561199068251294,0
False,0,False,False,False,False,knife,9392,Moon,76561198049602148,0
False,0,False,True,True,False,tec9,9401,Moon,76561198049602148,1
False,0,False,False,False,False,knife,9438,shawty#)$@,76561199557907229,0
False,0,False,False,False,False,knife,9493,Moon,76561198049602148,0
False,0,False,True,True,False,mp7,9581,Moon,76561198049602148,2
False,0,True,True,True,True,m4a1,9586,prosto bo$$,76561199068251294,3
False,0,False,False,False,False,knife,9594,prosto bo$$,76561199068251294,0
True,0,False,True,False,False,ssg08,9654,Faat,76561198171814417,5
False,0,True,True,True,True,m4a1,9688,prosto bo$$,76561199068251294,3
False,0,False,False,False,False,knife,9699,prosto bo$$,76561199068251294,0
False,0,False,False,False,False,knife,9700,Simple Dimple skins.army,76561199433997570,0
False,0,False,False,False,False,knife,9714,Moon,76561198049602148,0
False,0,False,True,True,False,deagle,9808,RME | Пацан,76561199826895670,1
False,0,False,True,True,False,glock,9839,Faat,76561198171814417,1
False,0,False,False,False,False,hegrenade,9840,frees.tyler,76561198002613044,9
False,0,False,False,False,False,flashbang,9847,frees.tyler,76561198002613044,9
True,0,False,True,False,False,ssg08,9852,Faat,76561198171814417,5
False,0,True,True,True,True,hkp2000,9891,Simple Dimple skins.army,76561199433997570,1
False,0,False,False,False,False,flashbang,9920,shawty#)$@,76561199557907229,9
False,0,False,False,False,False,smokegrenade,9928,shawty#)$@,76561199557907229,9
False,0,True,True,False,True,m4a1,9930,Simple Dimple skins.army,76561199433997570,3
False,0,False,False,False,False,incgrenade,9937,shawty#)$@,76561199557907229,9
False,0,False,False,True,False,knife,10002,RME | Пацан,76561199826895670,0
False,0,False,False,False,False,knife,10009,zig,76561198274174345,0
False,0,False,True,True,False,tec9,10009,zig,76561198274174345,1
False,0,False,True,True,False,deagle,10023,Worfy,76561199052717313,1
False,0,False,False,False,False,knife,10036,zig,76561198274174345,0
False,0,True,True,True,True,m4a1,10038,prosto bo$$,76561199068251294,3
False,0,False,True,True,False,mac10,10055,frees.tyler,76561198002613044,2
False,0,False,False,False,False,hegrenade,10061,frees.tyler,76561198002613044,9
