angles_x,angles_y,angles_z,attack_type,ent_origin_x,ent_origin_y,ent_origin_z,inaccuracy,item_def_index,mode,num_bullets_remaining,origin_x,origin_y,origin_z,player,player_inair,player_scoped,recoil_index,round,seed,sound_dsp_effect,sound_type,spread,tick,user_name,user_steamid,weapon_id
5.275784,-85.46664,-2.348081e-07,0,1235.9688,2440.7363,98.566025,0.009627512,7,0,9,1235.9688,2440.7363,143.69102,3473876,,,1.0,6,219928721,2430516821,2,0.0006,39621,RME | Пацан,76561199826895670,6783107
5.1137934,-84.24054,8.79418e-11,0,1235.9688,2440.7363,98.566025,0.010339284,7,0,8,1235.9688,2440.7363,143.69102,3473876,,,2.0,6,1702461517,2430516821,2,0.0006,39628,RME | Пацан,76561199826895670,6783107
-4.8561597,95.21918,-3.786949e-09,0,1334.9873,1367.418,-4.5612698,0.026745811,36,0,12,1336.3235,1367.54,56.561546,13418998,,,0.80584216,6,1679543340,161649234,2,0.002,39634,Faat,76561198171814417,15122938
5.823655,-84.14515,9.932082e-06,0,1235.3854,2440.6743,98.54021,0.01191907,7,0,7,1235.5614,2440.6929,143.68863,3473876,,,3.0,6,4134954427,2430516821,2,0.0006,39634,RME | Пацан,76561199826895670,6783107
5.0022345,-84.33242,-1.0013551e-08,0,1234.1863,2440.5508,98.48708,0.013277511,7,0,6,1234.359,2440.5686,145.00615,3473876,,,4.0,6,3249240463,2430516821,2,0.0006,39640,RME | Пацан,76561199826895670,6783107
-4.8197556,94.97639,9.439775e-07,0,1334.5991,1367.3649,-4.4059925,0.024164476,36,0,11,1334.2468,1367.3341,56.978355,13418998,,,1.4552238,6,4182482207,161649234,2,0.002,39648,Faat,76561198171814417,15122938
5.6715803,-84.258095,3.2868247e-06,0,1235.735,2440.6794,98.55605,0.009475846,7,0,5,1234.5271,2440.564,161.66942,3473876,,,2.2657914,6,1479791240,2430516821,2,0.0006,39659,RME | Пацан,76561199826895670,6783107
-5.9893293,95.49426,9.208554e-07,0,1335.1626,1367.4142,-4.631385,0.024805475,36,0,10,1335.1626,1367.4142,42.16445,13418998,,,1.978523,6,2046537700,161649234,2,0.002,39661,Faat,76561198171814417,15122938
6.5541267,-84.503006,6.285469e-07,0,1233.0889,2440.491,98.43783,0.01286081,7,0,4,1233.9026,2440.5618,161.6459,3473876,,,3.2657914,7,928949797,2430516821,2,0.0006,39665,RME | Пацан,76561199826895670,6783107
6.0760965,-84.58061,9.845553e-08,0,1233.6324,2440.5574,98.46179,0.014652667,7,0,3,1233.1667,2440.5122,161.62862,3473876,,,4.2657914,7,2585862419,2430516821,2,0.0006,39671,RME | Пацан,76561199826895670,6783107
5.995673,-84.01539,-1.9942286e-06,0,1232.0736,2440.405,98.392624,0.015493244,7,0,2,1233.1188,2440.5059,161.62653,3473876,,,5.2657914,7,3952987290,2430516821,2,0.0006,39678,RME | Пацан,76561199826895670,6783107
