attacker_slot,damage,hit_group,is_kill,penetration_count,round,tick,victim_pos_x,victim_pos_y,victim_pos_z,victim_slot
7,37,2,False,0,8,51694,-1664.006,1639.7382,2.3992686,1
1,75,1,False,1,8,51720,-1908.4005,2540.3005,28.873306,7
7,40,3,False,1,8,51838,-1764.8229,1882.2051,0.04145398,1
9,137,3,True,0,8,51892,-1774.6774,1900.3201,0.04431986,1
5,111,2,True,0,8,52379,228.52675,1421.723,-0.21977344,2
3,32,2,False,0,8,52700,454.0901,2058.5215,96.03125,5
0,84,2,True,0,8,52727,471.86038,2055.9648,96.03125,5
8,17,3,False,0,8,53555,284.45227,1847.4437,97.73324,4
8,95,1,True,0,8,53560,285.191,1847.4448,97.719795,4
8,14,2,False,0,8,54173,1397.0638,2541.8618,62.347588,3
8,14,2,False,0,8,54182,1397.0638,2541.8618,62.347588,3
8,17,3,False,0,8,54186,1397.0638,2541.8618,62.347588,3
8,56,1,True,0,8,54191,1397.0638,2541.8618,62.347588,3
0,277,1,True,0,8,54577,1179.9099,2455.5535,96.08201,8
9,107,2,True,0,9,55764,1645.5668,563.9428,56.863102,0
9,105,5,True,0,9,57734,-431.3977,-584.92975,1.783105,0
7,428,1,True,0,9,58439,-114.20629,345.09125,-0.3001428,3
9,109,2,True,0,9,58467,-1942.0286,1696.6523,34.005314,1
9,109,2,True,0,9,58690,-1979.5614,1808.4028,33.03125,2
4,171,1,True,0,9,59297,-132.41534,-470.0629,9.031248,5
4,25,5,False,0,9,61363,611.8278,2379.955,120.76644,8
4,25,2,False,0,9,61370,610.2272,2379.937,111.119194,8
8,10,4,False,2,9,61429,1047.335,2610.6782,96.53125,4
8,11,7,False,1,9,61448,1049.8922,2605.8105,96.53125,4
8,59,1,False,1,9,61461,1053.7168,2603.2356,96.53125,4
8,11,7,False,1,9,61486,1053.7471,2606.7935,96.53125,4
8,18,3,True,1,9,61493,1050.0203,2613.3916,96.53125,4
7,46,3,False,0,9,61875,1231.4901,2364.2573,151.46051,8
0,17,4,False,0,10,64921,-261.8726,2195.459,-125.76577,8
0,17,2,False,0,10,64927,-242.06277,2191.994,-125.35404,8
0,17,2,False,0,10,64932,-241.28244,2189.576,-125.4425,8
0,69,1,True,0,10,64947,-226.78864,2183.274,-125.283646,8
5,187,1,True,0,10,65849,-162.71112,1341.591,0.005245683,4
1,27,2,False,0,10,65895,154.28546,1344.3734,1.0837631,5
1,28,2,False,0,10,65902,154.3369,1345.4783,-0.064011104,5
1,110,1,True,0,10,65908,154.41188,1347.1223,-0.07189542,5
6,27,2,False,0,10,66254,-1094.7445,1199.2207,-69.863266,0
6,35,3,False,0,10,66261,-1098.9772,1188.7988,-63.753525,0
6,34,3,False,0,10,66267,-1100.7411,1186.2455,-62.18241,0
6,111,1,True,0,10,66293,-1097.2377,1179.5326,-59.847775,0
2,16,3,False,0,10,66605,-1156.7611,1394.9546,-111.42497,6
2,17,3,False,0,10,66610,-1156.23,1386.1678,-111.38589,6
2,17,3,False,0,10,66614,-1155.8549,1380.5465,-111.36541,6
2,13,2,False,0,10,66619,-1155.6996,1378.972,-111.36604,6
